27.4: 11.3 6.7 (6185), 60 (17) 47 133
27.5: 11.6 6.8 (6165), 51 (16) 38 142
27.6: 11.3 6.4 (5921), 45 (17) 33 147
27.7: 11.9 6.4 (5910), 36 (17) 26 154
27.8: 11.0 5.9 (5709), 29 (17) 20 160
27.9: 9.1 4.9 (5154), 23 (19) 16 164
28.0: 3.3 2.3 (1116), 30 (30) 21 159
28.1: 2.5 2.1 (282), 40 (41) 28 152
28.2: 2.1 2.1 (111), 50 (45) 36 144
28.3: 2.0 2.1 (52), 83 (43) 77 103
28.4: 2.0 2.5 (24), 90 (57) 90
28.5: 2.3 3.7 (1291), 141 (24) 90
28.6: 2.0 2.4 (32), 134 (43) 90
30.0: 2.0 2.5 (49), 169 (19) 90
41.7: 2.0 2.0 (7), -172 (12) 270
41.8: 2.0 2.0 (2), -153 (0) 270
41.9: 2.0 2.0 (2), -153 (0) 270
42.1: 2.0 2.0 (2), -153 (0) 270
42.2: 2.0 2.0 (6), -171 (13) 270
42.3: 2.0 2.0 (8), -148 (31) 270
42.4: 2.0 2.0 (16), -120 (22) 290 250
42.5: 2.0 2.0 (30), -158 (26) 270
42.6: 2.0 2.0 (10), -149 (28) 270
42.7: 2.0 2.0 (6), -150 (26) 270
42.8: 2.0 2.0 (6), -120 (26) 291 249
42.9: 2.0 2.0 (20), -149 (34) 270
43.0: 2.0 2.0 (35), -150 (35) 270
43.1: 2.0 2.0 (10), -144 (36) 270
43.2: 2.1 2.0 (19), -145 (25) 270
43.3: 2.0 2.0 (28), -145 (28) 270
43.4: 2.0 2.0 (30), -137 (33) 270
43.5: 2.0 2.0 (29), -142 (31) 270
43.6: 2.0 2.0 (26), -152 (31) 270
43.7: 2.1 2.0 (41), -155 (24) 270
43.8: 2.0 2.0 (84), -164 (20) 270
43.9: 2.0 2.0 (21), -135 (37) 270
44.0: 2.0 2.0 (23), -127 (27) 286 254
44.1: 2.0 2.0 (28), -133 (31) 270
44.2: 2.0 2.0 (23), -151 (30) 270
44.3: 2.0 2.0 (31), -151 (30) 270
44.4: 2.0 2.0 (45), -154 (25) 270
44.5: 2.0 2.0 (67), -142 (31) 270
44.6: 2.0 2.0 (39), -147 (27) 270
44.7: 2.0 2.0 (44), -133 (33) 279 261
44.8: 2.0 2.0 (78), -136 (31) 270
44.9: 2.0 2.0 (99), -150 (26) 270
45.0: 2.4 2.0 (5465), 163 (27) 90
45.1: 2.0 2.0 (154), -150 (30) 270
45.2: 2.0 2.0 (75), -160 (28) 270
45.3: 2.0 2.0 (63), -148 (29) 270
45.4: 2.0 2.0 (54), -146 (34) 270
45.5: 2.0 2.0 (81), -147 (29) 270
45.6: 2.0 2.0 (106), -145 (32) 270
45.7: 2.0 2.0 (93), -129 (27) 290 250
45.8: 2.0 2.0 (152), -142 (28) 270
45.9: 2.0 2.0 (89), -140 (26) 270
46.0: 2.0 2.0 (42), -129 (35) 291 249
46.1: 2.0 2.0 (82), -134 (32) 285 255
46.2: 2.0 2.0 (92), -133 (34) 287 253
46.3: 2.0 2.0 (85), -153 (28) 270
46.4: 2.0 2.0 (99), -139 (32) 275 265
46.5: 2.0 2.0 (54), -138 (29) 279 261
46.6: 2.0 2.0 (52), -150 (30) 270
46.7: 2.0 2.0 (50), -126 (29) 296 244
46.8: 2.0 2.0 (58), -138 (33) 281 259
46.9: 2.0 2.0 (58), -131 (34) 292 248
47.0: 2.0 2.0 (50), -139 (31) 280 260
47.1: 2.0 2.0 (36), -146 (29) 270
47.2: 2.0 2.0 (41), -133 (25) 291 249
47.3: 2.0 2.0 (47), -130 (33) 294 246
47.4: 2.0 2.0 (18), -133 (38) 291 249
47.5: 2.0 2.0 (71), -151 (38) 270
47.6: 2.0 2.0 (28), -120 (21) 303 237
47.7: 2.0 2.0 (12), -150 (35) 270
47.8: 2.0 2.0 (40), -147 (32) 270
47.9: 2.0 2.0 (8), -151 (29) 270
48.0: 2.0 2.0 (20), -134 (34) 292 248
48.1: 2.0 2.0 (2), -180 (0) 270
48.2: 2.0 2.0 (14), -132 (28) 294 246
48.3: 2.0 2.3 (6), -135 (15) 292 248
48.4: 2.0 2.0 (10), -138 (31) 289 251
48.5: 2.0 2.0 (2), -117 (0) 307 233
48.6: 2.0 2.0 (20), -144 (30) 280 260
48.7: 2.0 2.0 (3), -180 (0) 270
48.8: 2.0 2.0 (16), -143 (42) 284 256
48.9: 2.0 2.0 (9), -157 (37) 270
49.0: 2.0 2.0 (13), -174 (11) 270
49.1: 2.0 2.0 (2), -180 (0) 270
49.2: 2.0 2.0 (2), -90 (0) 323 217
49.3: 2.0 2.0 (2), -153 (0) 270
49.7: 2.0 2.0 (2), -90 (0) 323 217
49.8: 2.0 2.0 (2), -180 (0) 270
49.9: 2.0 2.0 (6), -150 (42) 270
50.0: 2.1 2.0 (121), 120 (76) 53 127
50.1: 2.0 2.0 (2), 117 (0) 51 129
50.2: 2.0 2.0 (2), -180 (0) 270
50.3: 2.0 2.0 (2), -180 (0) 270
51.6: 2.0 2.0 (6), 120 (26) 51 129
51.7: 2.0 2.0 (6), 90 (0) 35 145
51.8: 2.0 2.0 (2), 103 (13) 41 139
51.9: 2.0 2.0 (4), 121 (31) 51 129
52.0: 2.0 2.0 (2), 90 (0) 35 145
52.1: 2.0 2.0 (8), 119 (37) 49 131
52.3: 2.0 2.0 (2), 90 (0) 35 145
52.5: 2.0 2.0 (4), 103 (13) 41 139
52.6: 2.0 2.0 (6), 159 (30) 90
52.7: 2.0 2.0 (4), 103 (13) 40 140
52.8: 2.0 2.0 (7), 109 (12) 43 137
52.9: 3.0 2.0 (2), 135 (0) 58 122
53.0: 2.0 2.0 (12), 121 (31) 49 131
53.1: 2.0 2.0 (2), 117 (0) 47 133
53.2: 2.0 2.0 (6), 120 (26) 48 132
53.3: 2.0 2.0 (2), 90 (0) 34 146
53.4: 2.0 2.0 (6), 120 (26) 48 132
53.5: 2.0 2.0 (1), 90 (0) 34 146
53.6: 2.0 2.0 (8), 106 (16) 41 139
53.7: 2.0 2.0 (4), 135 (18) 57 123
53.8: 2.0 2.0 (2), 127 (0) 52 128
53.9: 2.0 2.0 (2), 117 (0) 46 134
54.1: 2.0 2.0 (2), 90 (0) 34 146
54.2: 2.0 2.0 (4), 135 (45) 56 124
