52.6: 2.0 2.0 (3), -72 (13) 333 207
53.0: 2.0 2.0 (8), -90 (0) 326 214
55.7: 2.0 2.0 (2), -90 (0) 328 212
55.9: 2.0 2.0 (2), -90 (0) 328 212
56.9: 2.0 2.0 (2), -117 (0) 317 223
57.1: 2.0 2.0 (2), -117 (0) 317 223
58.0: 2.0 2.0 (2), -90 (0) 329 211
59.7: 2.0 2.0 (2), -90 (0) 330 210
92.3: 5.5 2.0 (4), 56 (3) 12 168
92.4: 8.9 2.0 (583383), 27 (0) 6 174
94.8: 2.2 2.0 (883), -81 (12) 344 196 79 101
94.9: 4.0 3.9 (639636), -76 (7) 345 195 90
95.0: 2.1 2.1 (4325), -81 (12) 344 196 79 101
96.9: 2.8 2.0 (311), 146 (16) 313 227 30 150
97.0: 4.7 2.6 (636880), 168 (0) 319 221 35 145
97.1: 3.2 2.0 (564), 153 (16) 315 225 31 149
99.0: 2.7 2.0 (123), -135 (15) 333 207 49 131
99.1: 4.4 2.8 (638312), -113 (0) 338 202 56 124
99.2: 2.8 2.0 (127), -126 (16) 335 205 52 128
101.3: 4.2 2.0 (555), 110 (14) 305 235 21 159
101.4: 8.0 4.1 (639935), 119 (0) 308 232 23 157
101.5: 3.8 2.0 (1141), 101 (12) 302 238 19 161
104.1: 3.8 2.0 (304), -138 (17) 334 206 45 135
104.2: 8.6 3.9 (639919), -134 (7) 335 205 46 134
104.3: 3.8 2.0 (958), -137 (16) 334 206 45 135
104.8: 2.0 4.5 (4), -83 (7) 345 195 62 118
105.1: 3.0 2.0 (247), -90 (12) 344 196 59 121
105.2: 5.4 3.0 (638233), -82 (9) 345 195 62 118
105.3: 2.6 2.0 (40), -87 (13) 344 196 60 120
106.1: 3.2 2.0 (535), -97 (10) 343 197 56 124
106.2: 3.0 2.0 (2), -135 (0) 335 205 45 135
106.5: 2.0 2.0 (2765), -135 (28) 335 205 45 135
106.6: 3.2 2.1 (12893), -106 (18) 341 199 53 127
106.7: 7.4 4.9 (639455), -89 (11) 344 196 58 122
106.8: 3.9 2.0 (50060), -126 (19) 337 203 47 133
106.9: 5.9 2.4 (198815), -140 (14) 334 206 43 137
107.0: 29.9 11.8 (640000), -141 (5) 334 206 43 137
107.1: 6.2 2.4 (171423), -142 (14) 334 206 43 137
107.2: 4.2 2.0 (5995), -140 (15) 334 206 43 137
107.3: 3.4 2.0 (140), -130 (18) 336 204 46 134
107.4: 3.4 2.0 (94999), -111 (16) 340 200 51 129
107.5: 2.6 2.0 (6), -119 (3) 338 202 48 132
