18.5: 2.1 5.9 (798), 164 (23) 90
18.6: 2.0 5.2 (318), 170 (23) 90
18.7: 2.1 5.0 (198), 166 (22) 90
18.8: 2.0 4.6 (273), 167 (20) 90
18.9: 2.0 4.7 (456), 166 (19) 90
19.0: 2.0 4.9 (508), 169 (19) 90
19.1: 2.1 4.9 (460), 173 (20) 90
19.2: 2.0 5.0 (712), 174 (17) 90
19.3: 2.2 6.1 (1913), 173 (14) 90
19.4: 2.5 6.7 (3124), 172 (12) 90
19.5: 3.2 8.2 (4669), 174 (10) 90
19.6: 3.3 8.2 (5086), 175 (10) 90
19.7: 3.9 9.0 (5504), 177 (9) 90
19.8: 3.8 8.3 (5354), 179 (9) 90
19.9: 4.2 8.4 (5886), -177 (9) 270
20.0: 3.8 7.2 (5196), -173 (10) 270
20.1: 3.9 6.9 (5520), -166 (10) 270
20.2: 3.5 5.9 (4867), -158 (13) 270
20.3: 3.3 5.6 (4964), -148 (13) 270
20.4: 2.8 4.7 (3467), -136 (16) 270
20.5: 2.4 4.5 (2852), -118 (18) 270
20.6: 2.1 4.4 (709), -94 (19) 270
20.7: 2.0 5.0 (30), -90 (34) 270
20.8: 2.0 7.0 (2), 164 (0) 90
20.9: 2.0 5.6 (10), 168 (10) 90
21.5: 2.0 3.0 (4), -153 (0) 270
21.6: 2.3 5.7 (1916), -139 (14) 270
21.7: 2.2 6.3 (1962), -130 (15) 270
21.8: 2.1 7.4 (968), -123 (15) 270
21.9: 2.0 8.5 (585), -124 (16) 270
22.0: 2.0 10.0 (113), -130 (18) 270
22.1: 2.0 10.3 (46), -143 (17) 270
22.2: 2.1 11.9 (26), -162 (15) 270
22.3: 2.0 10.9 (107), -177 (13) 270
22.4: 2.0 10.1 (354), 173 (13) 90
22.5: 2.1 9.7 (921), 172 (12) 90
22.6: 2.1 8.6 (1246), 172 (13) 90
22.7: 2.2 8.2 (1890), 175 (11) 90
22.8: 2.3 7.9 (2058), 177 (12) 90
22.9: 2.3 7.2 (2103), 179 (11) 90
23.0: 2.3 6.8 (2180), -177 (11) 270
23.1: 2.3 6.6 (2231), -174 (11) 270
23.2: 2.2 6.2 (2005), -170 (12) 270
23.3: 2.1 6.0 (1320), -168 (12) 270
23.4: 2.1 5.9 (1034), -165 (12) 270
23.5: 2.0 5.9 (613), -166 (13) 270
23.6: 2.0 5.6 (400), -167 (13) 270
23.7: 2.0 5.7 (379), -169 (13) 270
23.8: 2.0 5.4 (405), -173 (12) 270
23.9: 2.0 5.3 (473), -174 (11) 270
24.0: 2.0 5.0 (746), -176 (12) 270
24.1: 2.1 4.8 (855), -176 (10) 270
24.2: 2.1 4.6 (1452), -175 (11) 270
24.3: 2.1 4.3 (1365), -173 (12) 270
24.4: 2.2 4.1 (1884), -171 (12) 270
24.5: 2.2 3.9 (1597), -167 (12) 270
24.6: 2.1 3.9 (1849), -162 (14) 270
24.7: 2.1 3.8 (1355), -157 (15) 270
24.8: 2.0 3.1 (156), -153 (17) 270
24.9: 2.0 2.0 (2), -153 (0) 270
25.0: 2.0 2.0 (2), -180 (0) 270
25.1: 2.0 3.6 (533), -151 (17) 270
25.2: 2.1 4.1 (1540), -149 (16) 270
25.3: 2.1 3.9 (1237), -143 (17) 270
25.4: 2.1 3.9 (1817), -140 (18) 270
25.5: 2.3 3.7 (1619), -134 (17) 270
25.6: 2.2 3.5 (1957), -133 (18) 270
25.7: 2.2 3.2 (1547), -132 (19) 270
25.8: 2.2 3.0 (1614), -134 (19) 270
25.9: 2.2 3.0 (1279), -137 (19) 270
26.0: 2.3 3.0 (1509), -143 (19) 270
26.1: 2.3 3.0 (1851), -155 (17) 270
26.2: 2.5 3.1 (2707), -160 (16) 270
26.3: 2.8 3.2 (3095), -171 (13) 270
26.4: 3.2 3.5 (4043), -175 (12) 270
26.5: 3.4 3.5 (4414), -180 (12) 270
26.6: 3.8 4.0 (4827), 177 (12) 90
26.7: 3.8 4.1 (4890), 171 (13) 90
