17.9: 2.0 15.0 (566), 157 (18) 90
18.0: 2.0 9.3 (89), 164 (19) 90
18.1: 2.0 5.0 (4), 167 (5) 90
18.2: 2.0 3.6 (11), 152 (35) 90
18.3: 2.0 10.2 (201), 172 (15) 90
18.4: 2.0 10.3 (199), 177 (16) 90
18.5: 2.0 9.9 (146), -174 (19) 270
18.6: 2.0 9.6 (136), -170 (17) 270
18.7: 2.0 9.1 (224), -163 (21) 270
18.8: 2.1 9.2 (388), -154 (20) 270
18.9: 2.1 8.4 (1096), -139 (21) 270
19.0: 2.4 8.6 (2501), -130 (19) 270
19.1: 2.9 8.1 (4116), -122 (17) 270
19.2: 3.5 7.5 (5057), -122 (17) 270
19.3: 4.4 7.1 (5834), -127 (16) 270
19.4: 4.9 6.4 (6043), -137 (17) 270
19.5: 5.8 6.7 (6059), -152 (16) 270
19.6: 5.6 6.3 (6087), -164 (15) 270
19.7: 5.9 7.0 (6146), -174 (13) 270
19.8: 5.0 6.7 (5874), 179 (13) 90
19.9: 4.9 7.6 (6000), 173 (13) 90
20.0: 4.0 7.0 (5247), 168 (14) 90
20.1: 3.7 7.6 (5159), 161 (14) 90
20.2: 3.1 7.5 (4286), 155 (15) 90
20.3: 2.9 8.0 (4038), 145 (15) 90
20.4: 2.5 7.7 (2380), 132 (17) 90
20.5: 2.3 7.2 (2438), 110 (17) 90
20.6: 2.4 5.5 (2266), 89 (20) 90
20.7: 2.8 4.4 (3759), 78 (20) 90
20.8: 3.3 3.4 (3270), 86 (19) 90
20.9: 3.1 2.7 (2986), 100 (18) 90
21.0: 2.0 2.1 (28), 120 (29) 90
21.1: 2.0 2.0 (2), 90 (0) 90
21.2: 2.0 2.0 (2), 117 (0) 90
21.4: 2.0 2.0 (2), 117 (0) 90
21.5: 2.0 2.6 (180), 133 (20) 90
21.6: 3.1 4.7 (3619), 129 (13) 90
21.7: 3.4 5.1 (4353), 126 (12) 90
21.8: 3.2 4.8 (4244), 124 (13) 90
21.9: 3.7 5.2 (4855), 121 (11) 90
22.0: 3.7 5.0 (4553), 120 (12) 90
22.1: 3.9 5.1 (5079), 121 (12) 90
22.2: 3.9 4.9 (4927), 122 (12) 90
22.3: 4.2 5.1 (5231), 124 (11) 90
22.4: 4.2 5.1 (5108), 127 (12) 90
22.5: 4.4 5.3 (5449), 129 (11) 90
22.6: 4.2 5.3 (5317), 132 (11) 90
22.7: 4.3 5.6 (5399), 135 (11) 90
22.8: 4.2 5.9 (5287), 137 (11) 90
22.9: 4.0 5.9 (5151), 139 (11) 90
23.0: 3.9 6.2 (5219), 140 (11) 90
23.1: 3.7 6.4 (5221), 141 (11) 90
23.2: 3.6 6.7 (4968), 141 (11) 90
23.3: 3.3 6.7 (4625), 140 (12) 90
23.4: 3.3 7.1 (4587), 138 (11) 90
23.5: 3.1 6.9 (4164), 136 (12) 90
23.6: 3.2 7.1 (4378), 135 (11) 90
23.7: 3.1 7.0 (4088), 136 (12) 90
23.8: 3.2 7.3 (4313), 137 (11) 90
23.9: 3.1 7.1 (3958), 141 (11) 90
24.0: 3.1 7.3 (4328), 146 (11) 90
24.1: 2.9 7.1 (3703), 152 (12) 90
24.2: 2.9 7.6 (3818), 158 (12) 90
24.3: 2.7 7.5 (3026), 165 (11) 90
24.4: 2.6 7.9 (3197), 172 (11) 90
24.5: 2.4 7.7 (2437), 179 (12) 90
24.6: 2.4 8.3 (2546), -173 (11) 270
24.7: 2.3 7.9 (1899), -164 (13) 270
24.8: 2.0 5.9 (431), -163 (14) 270
